farm_id,primary,alt_with_29oct,spread
1,39.63,45.25,5.619999999999997
2,45.61,50.65,5.039999999999999
3,52.08,53.43,1.3500000000000014
4,71.84,69.62,2.219999999999999
5,27.09,26.75,0.33999999999999986
6,44.6,44.46,0.14000000000000057
7,43.64,42.47,1.1700000000000017
8,53.14,51.6,1.5399999999999991
9,48.01,45.57,2.4399999999999977
10,45.55,46.32,0.7700000000000031
11,32.56,36.81,4.25
12,48.29,49.56,1.2700000000000031
13,68.55,69.57,1.019999999999996
14,53.92,51.89,2.030000000000001
15,34.13,35.47,1.3399999999999963
16,30.97,27.66,3.3099999999999987
17,63.94,64.24,0.29999999999999716
18,16.72,17.64,0.9200000000000017
19,56.23,56.6,0.37000000000000455
20,63.65,65.35,1.6999999999999957
21,73.76,74.78,1.019999999999996
22,14.09,15.05,0.9600000000000009
23,4.1,3.97,0.12999999999999945
24,39.93,41.9,1.9699999999999989
25,56.66,56.11,0.5499999999999972
26,79.63,78.78,0.8499999999999943
27,67.37,66.05,1.3200000000000074
28,48.54,50.78,2.240000000000002
29,64.18,68.33,4.1499999999999915
30,81.96,79.26,2.6999999999999886
31,69.01,65.26,3.75
32,47.1,45.97,1.1300000000000026
33,49.36,48.84,0.519999999999996
34,81.78,80.52,1.2600000000000051
35,66.23,65.35,0.8800000000000097
36,33.74,32.81,0.9299999999999997
37,68.91,67.89,1.019999999999996
38,61.14,61.95,0.8100000000000023
39,23.15,24.65,1.5
40,50.1,50.88,0.7800000000000011
41,81.32,79.18,2.1399999999999864
42,90.4,87.97,2.430000000000007
43,40.25,40.81,0.5600000000000023
44,50.42,49.19,1.230000000000004
45,53.14,52.04,1.1000000000000014
46,53.16,51.05,2.1099999999999994
47,62.64,61.84,0.7999999999999972
48,33.73,35.53,1.8000000000000043
49,68.41,66.04,2.3699999999999903
50,78.33,75.55,2.780000000000001
51,67.03,65.43,1.5999999999999943
52,36.57,34.1,2.469999999999999
53,61.45,60.73,0.720000000000006
54,68.47,66.11,2.3599999999999994
55,87.35,82.63,4.719999999999999
